park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
11,0,0,329,355,132,355,443,224,78,301,246,292,0,255,258,419,337,49,150,32,243,433,0,305,411,261,209,255,208,147,119,153,0.9460,0.9460,0.9460,1.0000,1.0000,0.9460,0.9460,0.9460,42,44,47,51,57,61,66,66,61,53,46,41,6,6,6,5,3,3,3,2,3,3,7,6,7,4,331,357,378,401,381,357,340,15,15,8,8,8,8,8,"Safeco Field","safeco_field_d.webp","safeco_field_n.webp",0,47476,2,0,0,0,"./safeco_field/","safeco_field.pod",1
12,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9590,0.9590,0.9590,1.0000,1.0000,0.9590,0.9590,0.9590,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,343,370,404,360,346,322,11,11,11,9,11,11,11,"Tropicana Field","tropicana_field_d.webp","tropicana_field_n.webp",0,31042,1,0,1,0,"./tropicana_field/","tropicana_field.pod",1
13,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0870,1.0870,1.0870,1.0000,1.0000,1.0870,1.0870,1.0870,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,5,334,361,388,400,381,353,325,14,14,8,8,8,8,8,"Globe Life Park","default_grass.jpg","default_grass.jpg",0,49178,0,0,0,0,"","",1
14,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0180,1.0180,1.0180,1.0000,1.0000,1.0180,1.0180,1.0180,21,22,32,44,55,64,70,68,59,48,38,27,2,2,2,2,2,2,2,3,2,2,2,2,14,8,328,352,390,400,390,352,328,10,10,10,10,10,10,10,"Rogers Centre","default_grass.jpg","default_grass.jpg",0,50598,2,0,1,0,"./rogers_centre/","rogers_centre.pod",1
15,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0840,1.0840,1.0840,1.0000,1.0000,1.0840,1.0840,1.0840,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,7,328,352,376,407,375,354,335,8,8,8,25,8,8,8,"Chase Field","default_grass.jpg","default_grass.jpg",0,48633,2,0,0,0,"./chase_field/","chase_field.pod",1
16,0,0,337,355,140,355,443,224,86,315,254,303,0,255,249,420,331,47,150,43,264,440,0,317,409,278,218,268,217,157,131,176,1.0010,1.0010,1.0010,1.0000,1.0000,1.0010,1.0010,1.0010,43,47,54,62,70,77,80,79,73,63,53,45,3,3,4,3,3,3,3,4,3,2,3,3,9,7,335,358,380,401,390,360,330,8,8,8,8,8,8,8,"Turner Field","turner_field_d.webp","turner_field_n.webp",0,49586,0,0,0,0,"./turner_field/","turner_field.pod",1
17,0,0,337,366,140,367,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,423,278,226,268,217,167,153,191,0.9470,0.9470,0.9470,1.0000,1.0000,0.9470,0.9470,0.9470,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,6,355,357,363,400,381,363,353,16,16,11,11,11,16,16,"Wrigley Field","wrigley_field_d.webp","wrigley_field_n.webp",0,41072,0,0,0,0,"./wrigley_field/","wrigley_field.pod",0
18,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0310,1.0310,1.0310,1.0000,1.0000,1.0310,1.0310,1.0310,30,34,44,54,64,72,76,75,67,56,45,35,4,4,4,4,4,4,3,3,3,3,4,4,9,4,328,366,379,404,370,366,325,12,12,12,8,8,8,8,"Great American Ball Park","default_grass.jpg","default_grass.jpg",0,42319,0,0,0,0,"./great_american_ball_park/","great_american_ball_park.pod",1
19,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.2000,1.2000,1.2000,1.0000,1.0000,1.2260,1.2260,1.2260,29,33,40,48,57,68,73,72,62,51,38,30,2,3,3,3,3,3,3,3,3,2,3,2,9,2,347,369,390,415,375,358,350,13,13,8,8,16,14,14,"Coors Field","default_grass.jpg","default_grass.jpg",0,50480,0,0,0,0,"","",1
20,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9350,0.9350,0.9350,1.0000,1.0000,0.9350,0.9350,0.9350,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,344,364,393,407,397,361,335,7,7,14,20,15,7,7,"Marlins Park","default_grass.jpg","default_grass.jpg",0,37422,2,0,0,0,"./marlins_park/","marlins_park.pod",1
21,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9200,0.9200,0.9200,1.0000,1.0000,0.9200,0.9200,0.9200,52,55,62,69,76,81,84,83,79,70,61,54,3,3,3,3,3,3,3,3,3,3,3,3,8,2,315,362,390,436,397,373,326,21,21,25,9,9,7,7,"Minute Maid Park","default_grass.jpg","default_grass.jpg",0,42060,2,0,0,0,"./minute_maid_park/","minute_maid_park.pod",1
22,0,0,346,355,140,355,430,224,75,304,254,300,0,259,266,410,319,43,137,59,264,441,0,306,411,267,215,261,215,146,133,175,0.9180,0.9180,0.9180,1.0000,1.0000,0.9180,0.9180,0.9180,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,2,330,360,385,400,385,360,330,4,4,8,8,8,4,4,"Dodger Stadium","dodger_stadium_d.webp","dodger_stadium_n.webp",0,55000,0,0,0,0,"./dodger_stadium/","dodger_stadium.pod",0
23,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0220,1.0220,1.0220,1.0000,1.0000,1.0220,1.0220,1.0220,21,25,35,45,56,66,72,71,63,51,38,26,3,3,4,4,4,4,3,3,3,3,4,3,12,3,344,371,382,400,383,371,345,8,8,8,8,8,6,6,"Miller Park","default_grass.jpg","default_grass.jpg",0,41900,2,0,0,0,"./miller_park/","miller_park.pod",1
24,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9870,0.9870,0.9870,1.0000,1.0000,0.9870,0.9870,0.9870,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,355,377,402,370,353,335,8,8,8,12,12,12,12,"Nationals Park","default_grass.jpg","default_grass.jpg",0,41222,0,0,0,0,"./nationals_park/","nationals_park.pod",1
25,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9570,0.9570,0.9570,1.0000,1.0000,0.9570,0.9570,0.9570,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,4,331,347,373,408,384,375,330,8,8,8,11,18,8,8,"Citi Field","default_grass.jpg","default_grass.jpg",0,41922,0,0,0,0,"./citi_field/","citi_field.pod",1
26,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9630,0.9630,0.9630,1.0000,1.0000,0.9630,0.9630,0.9630,32,35,43,53,64,72,78,76,69,57,47,37,3,3,4,4,3,3,3,3,3,3,3,3,10,2,329,356,385,401,381,357,330,11,11,11,6,13,13,13,"Citizens Bank Park","default_grass.jpg","default_grass.jpg",0,43651,0,0,0,0,"./citizens_bank_park/","citizens_bank_park.pod",1
27,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9820,0.9820,0.9820,1.0000,1.0000,0.9820,0.9820,0.9820,28,31,40,50,60,68,73,71,64,53,42,33,5,5,5,5,4,4,4,3,3,3,4,5,9,6,325,362,395,399,395,350,320,6,6,10,10,10,21,21,"PNC Park","default_grass.jpg","default_grass.jpg",0,38362,0,0,0,0,"./pnc_park/","pnc_park.pod",1
28,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9840,0.9840,0.9840,1.0000,1.0000,0.9840,0.9840,0.9840,58,59,60,63,65,67,71,73,72,68,62,58,3,3,3,2,1,0,0,0,0,1,2,2,7,2,336,357,390,396,396,363,322,4,4,8,7,10,10,10,"Petco Park","default_grass.jpg","default_grass.jpg",0,42524,0,0,0,0,"./petco_park/","petco_park.pod",1
29,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9570,0.9570,0.9570,1.0000,1.0000,0.9570,0.9570,0.9570,49,52,54,56,59,61,63,64,64,61,55,50,3,3,3,3,1,0,0,0,0,1,3,3,11,6,339,350,364,399,420,365,309,8,8,11,8,25,25,25,"AT&T Park","default_grass.jpg","default_grass.jpg",0,41915,0,0,0,0,"./at_t_park/","at_t_park.pod",1
30,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9550,0.9550,0.9550,1.0000,1.0000,0.9550,0.9550,0.9550,30,35,46,57,67,76,80,78,70,58,45,34,3,3,4,4,3,3,3,3,3,3,3,3,10,8,336,362,396,400,396,362,335,8,8,8,8,8,8,8,"Busch Stadium III","default_grass.jpg","default_grass.jpg",0,45399,0,0,0,0,"","",1
31,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9905,1.0100,0.9800,1.0080,0.9800,0.9930,1.0000,0.9800,70,70,70,70,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,332,364,397,429,399,356,326,7,7,7,7,7,7,7,"Spring Ballpark","default_grass.jpg","default_grass.jpg",0,5000,0,0,0,0,"","",1
