player_id,team_id,league_id,pitching_ratings_overall_stuff,pitching_ratings_overall_control,pitching_ratings_overall_movement,pitching_ratings_overall_balk,pitching_ratings_overall_hp,pitching_ratings_overall_wild_pitch,pitching_ratings_vsr_stuff,pitching_ratings_vsr_control,pitching_ratings_vsr_movement,pitching_ratings_vsr_balk,pitching_ratings_vsr_hp,pitching_ratings_vsr_wild_pitch,pitching_ratings_vsl_stuff,pitching_ratings_vsl_control,pitching_ratings_vsl_movement,pitching_ratings_vsl_balk,pitching_ratings_vsl_hp,pitching_ratings_vsl_wild_pitch,pitching_ratings_talent_stuff,pitching_ratings_talent_control,pitching_ratings_talent_movement,pitching_ratings_talent_balk,pitching_ratings_talent_hp,pitching_ratings_talent_wild_pitch,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve,pitching_ratings_pitches_talent_fastball,pitching_ratings_pitches_talent_slider,pitching_ratings_pitches_talent_curveball,pitching_ratings_pitches_talent_screwball,pitching_ratings_pitches_talent_forkball,pitching_ratings_pitches_talent_changeup,pitching_ratings_pitches_talent_sinker,pitching_ratings_pitches_talent_splitter,pitching_ratings_pitches_talent_knuckleball,pitching_ratings_pitches_talent_cutter,pitching_ratings_pitches_talent_circlechange,pitching_ratings_pitches_talent_knucklecurve,pitching_ratings_misc_velocity,pitching_ratings_misc_stamina,pitching_ratings_misc_ground_fly,pitching_ratings_misc_hold
11,0,0,6,4,73,10,15,30,6,4,73,10,15,30,6,4,73,10,15,30,6,4,75,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,1,52,0
12,0,0,33,22,75,0,0,0,33,22,75,0,0,0,35,22,75,0,0,0,76,111,143,0,3,0,56,0,22,0,53,2,0,0,0,0,0,0,92,0,82,0,89,38,0,0,0,0,0,0,9,124,49,119
13,0,0,6,5,74,10,15,30,6,5,74,10,15,30,6,5,74,10,15,30,6,5,75,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,1,50,0
14,0,0,40,25,82,0,0,0,40,25,82,0,0,0,42,26,82,0,0,0,97,96,117,0,1,0,56,0,21,0,0,3,61,0,0,0,0,0,91,0,105,0,0,71,95,0,0,0,0,0,9,9,55,197
15,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,114
16,0,0,102,88,108,0,5,6,104,90,109,0,5,6,100,86,107,0,5,6,102,88,108,0,4,0,115,51,61,0,0,104,99,0,0,0,0,0,115,51,61,0,0,104,99,0,0,0,0,0,11,138,50,80
17,0,0,39,25,75,0,0,0,39,25,75,0,0,0,41,25,75,0,0,0,67,104,152,0,2,0,54,0,19,0,0,0,0,0,0,51,0,0,72,0,42,0,0,0,0,0,0,82,0,0,9,14,50,123
18,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,74,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,69
19,0,0,45,25,75,0,0,0,47,25,75,0,0,0,44,25,75,0,0,0,45,40,75,0,7,0,0,0,40,0,0,0,0,0,0,62,0,0,0,0,40,0,0,0,0,0,0,62,0,0,9,21,50,75
20,0,0,40,25,82,0,0,0,40,25,82,0,0,0,42,26,82,0,0,0,86,65,152,0,3,0,56,0,21,0,0,3,61,0,0,0,0,0,85,0,90,0,0,59,106,0,0,0,0,0,9,13,55,108
21,0,0,41,25,75,0,0,0,43,26,75,0,0,0,40,24,75,0,0,0,92,90,157,0,6,0,60,0,21,0,0,0,0,0,0,0,0,21,102,0,75,0,0,0,0,0,0,0,0,92,10,15,46,104
22,0,0,45,25,82,0,0,0,44,25,82,0,0,0,47,26,82,0,0,0,45,144,127,0,0,0,0,0,40,0,0,0,68,0,0,0,0,0,0,0,40,0,0,0,78,0,0,0,0,0,9,24,55,155
23,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,53,140
24,0,0,47,25,75,0,0,0,46,24,74,0,0,0,49,26,76,0,0,0,85,97,155,0,2,0,60,31,0,0,0,1,0,55,0,0,0,0,82,89,0,0,0,55,0,100,0,0,0,0,10,24,39,193
25,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,102
26,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,161
27,0,0,45,25,83,0,0,0,45,26,83,0,0,0,45,24,82,0,0,0,45,47,103,0,7,0,0,0,40,0,0,0,68,0,0,0,0,0,0,0,40,0,0,0,69,0,0,0,0,0,9,16,43,123
28,0,0,33,25,75,0,0,0,34,25,75,0,0,0,32,25,75,0,0,0,85,87,105,0,3,0,59,0,32,0,57,12,0,0,0,0,0,0,78,0,93,0,89,61,0,0,0,0,0,0,9,1,44,89
29,0,0,6,1,87,10,15,30,6,1,87,10,15,30,6,1,87,10,15,30,6,1,90,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,1,59,0
30,0,0,6,1,75,10,15,30,6,1,76,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,48,81
31,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,63
32,0,0,75,114,140,0,8,6,76,116,141,0,8,6,74,111,139,0,8,6,75,114,140,0,8,0,80,0,0,0,0,57,0,0,0,88,0,0,80,0,0,0,0,57,0,0,0,88,0,0,8,24,61,27
33,0,0,45,25,75,0,0,0,45,25,75,0,0,0,45,25,75,0,0,0,76,123,143,0,5,0,60,31,0,0,0,1,0,0,0,0,0,0,88,72,0,0,0,46,0,0,0,0,0,0,10,16,46,137
34,0,0,44,25,75,0,0,0,46,26,75,0,0,0,43,24,75,0,0,0,111,113,124,0,6,0,67,0,24,0,0,0,0,0,0,0,0,0,113,0,132,0,0,0,0,0,0,0,0,0,11,18,51,115
35,0,0,54,25,83,0,0,0,55,25,83,0,0,0,53,25,83,0,0,0,115,76,83,0,3,0,78,0,27,0,0,1,73,0,0,0,0,0,117,0,118,0,0,75,95,0,0,0,0,0,13,1,56,168
36,0,0,45,25,75,0,0,0,45,26,75,0,0,0,45,24,74,0,0,0,90,99,143,0,9,0,61,31,0,0,0,0,0,0,0,0,0,0,95,102,0,0,0,0,0,0,0,0,0,0,10,18,45,114
37,0,0,46,25,75,0,0,0,47,26,75,0,0,0,44,24,74,0,0,0,82,154,143,0,4,0,62,0,36,0,0,0,0,0,0,0,0,0,86,0,93,0,0,0,0,0,0,0,0,0,9,18,47,70
38,0,0,45,25,75,0,0,0,45,26,75,0,0,0,45,24,74,0,0,0,45,130,167,0,0,0,64,0,28,0,0,0,0,0,0,0,0,0,64,0,28,0,0,0,0,0,0,0,0,0,10,24,47,93
39,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,51,111
40,0,0,47,25,75,0,0,0,47,26,76,0,0,0,47,24,75,0,0,0,107,90,119,0,5,0,72,0,25,0,0,0,0,0,0,0,0,0,114,0,123,0,0,0,0,0,0,0,0,0,12,12,48,127
41,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,60
42,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,74,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,135
43,0,0,41,25,75,0,0,0,41,25,75,0,0,0,41,25,75,0,0,0,44,100,167,0,2,0,54,28,19,0,0,1,0,0,0,0,0,0,56,31,21,0,0,3,0,0,0,0,0,0,9,18,48,172
44,0,0,33,22,75,0,0,0,34,22,75,0,0,0,32,22,75,0,0,0,50,182,166,0,2,0,63,0,25,0,0,4,0,0,0,0,0,0,77,0,50,0,0,28,0,0,0,0,0,0,10,204,46,49
45,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,74,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,9
46,0,0,43,25,75,0,0,0,45,26,75,0,0,0,42,24,75,0,0,0,43,47,75,0,0,0,0,0,50,0,67,0,0,0,0,0,0,0,0,0,50,0,67,0,0,0,0,0,0,0,10,24,44,19
47,0,0,45,25,83,0,0,0,47,26,83,0,0,0,44,24,82,0,0,0,94,92,123,0,3,0,0,0,38,0,0,0,69,0,0,0,0,0,0,0,110,0,0,0,108,0,0,0,0,0,10,13,53,73
48,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,48,132
49,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,93
50,0,0,6,1,75,10,15,30,6,1,76,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,48,76
51,0,0,6,1,75,10,15,30,6,1,74,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,138
52,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,142
53,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,173
54,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,33
55,0,0,6,1,75,10,15,30,6,1,74,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,164
56,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,48,153
57,0,0,41,25,75,0,0,0,40,25,74,0,0,0,43,26,75,0,0,0,41,47,95,0,14,0,60,0,21,0,55,0,0,0,0,0,0,0,60,0,21,0,59,0,0,0,0,0,0,0,10,24,42,129
58,0,0,47,25,75,0,0,0,46,25,75,0,0,0,49,25,75,0,0,0,117,118,91,0,11,0,72,0,25,0,0,0,0,0,0,0,0,0,121,0,139,0,0,0,0,0,0,0,0,0,12,11,48,164
59,0,0,40,25,83,0,0,0,40,26,83,0,0,0,40,24,82,0,0,0,81,98,169,0,2,0,56,0,21,0,0,3,61,0,0,0,0,0,82,0,83,0,0,53,111,0,0,0,0,0,9,18,48,146
60,0,0,36,25,83,0,0,0,36,26,83,0,0,0,36,24,82,0,0,0,84,62,113,0,3,0,55,0,22,0,0,3,61,0,0,0,0,0,77,0,88,0,0,57,94,0,0,0,0,0,9,1,53,93
61,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,43
62,0,0,43,25,75,0,0,0,45,26,75,0,0,0,42,24,74,0,0,0,89,78,105,0,3,0,0,0,50,0,65,0,0,0,0,0,0,0,0,0,106,0,95,0,0,0,0,0,0,0,9,16,50,112
63,0,0,39,25,75,0,0,0,39,24,74,0,0,0,41,26,76,0,0,0,64,100,160,0,18,0,54,0,19,0,0,0,0,0,0,51,0,0,75,0,54,0,0,0,0,0,0,82,0,0,9,24,42,157
64,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,131
65,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,74
66,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,148
67,0,0,81,101,108,0,9,6,82,103,108,0,9,6,80,99,107,0,9,6,100,101,130,0,3,0,93,74,71,0,0,0,0,0,0,0,0,0,104,106,83,0,0,0,0,0,0,0,0,0,9,14,52,175
68,0,0,41,25,75,0,0,0,43,26,75,0,0,0,40,24,74,0,0,0,44,83,157,0,11,0,57,0,22,0,54,0,0,0,0,0,0,0,60,0,25,0,72,0,0,0,0,0,0,0,9,24,40,96
69,0,0,46,25,82,0,0,0,46,26,83,0,0,0,45,24,82,0,0,0,124,106,112,0,9,0,66,0,23,0,0,0,66,0,0,0,0,0,131,0,132,0,0,0,109,0,0,0,0,0,11,1,52,104
70,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,84
71,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,53,107
72,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,131
73,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,160
74,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,113
75,0,0,46,25,75,0,0,0,46,26,75,0,0,0,46,24,74,0,0,0,77,89,138,0,0,0,62,0,36,0,0,0,0,0,0,0,0,0,83,0,85,0,0,0,0,0,0,0,0,0,9,19,47,56
76,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,51,94
77,0,0,43,25,82,0,0,0,44,26,83,0,0,0,42,24,82,0,0,0,52,89,137,0,6,0,60,0,21,0,0,1,63,0,0,0,0,0,67,0,37,0,0,14,89,0,0,0,0,0,10,21,47,138
78,0,0,43,25,75,0,0,0,45,26,76,0,0,0,42,24,75,0,0,0,43,98,157,0,3,0,62,0,25,0,0,6,0,0,0,0,0,0,62,0,25,0,0,6,0,0,0,0,0,0,10,24,48,75
79,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,51,19
80,0,0,33,25,75,0,0,0,33,24,74,0,0,0,35,26,75,0,0,0,97,32,90,0,3,0,59,0,32,0,57,12,0,0,0,0,0,0,83,0,107,0,92,72,0,0,0,0,0,0,9,1,47,120
81,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,112
82,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,53,109
83,0,0,6,3,74,10,15,30,6,3,74,10,15,30,6,3,74,10,15,30,6,5,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,0
84,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,7
85,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,196
86,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,129
87,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,73
88,0,0,40,25,83,0,0,0,40,24,82,0,0,0,42,26,83,0,0,0,63,121,174,0,7,0,0,0,28,25,0,0,64,0,0,0,0,0,0,0,57,48,0,0,114,0,0,0,0,0,9,12,53,123
89,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,51,130
90,0,0,61,122,100,1,7,6,61,123,100,1,7,6,61,121,99,1,7,6,76,122,100,0,8,0,70,54,52,0,0,0,0,0,0,0,0,0,78,80,66,0,0,0,0,0,0,0,0,0,6,9,57,73
91,0,0,33,22,75,0,0,0,33,22,75,0,0,0,35,22,75,0,0,0,86,116,138,0,5,0,56,0,21,22,0,2,0,0,0,0,0,0,91,0,75,105,0,43,0,0,0,0,0,0,9,45,51,193
92,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,53,85
93,0,0,36,25,75,0,0,0,37,25,75,0,0,0,35,25,75,0,0,0,88,87,90,0,3,0,55,0,22,0,0,3,0,0,0,53,0,0,79,0,94,0,0,62,0,0,0,86,0,0,9,1,50,102
94,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,50,52
95,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,52,83
96,0,0,36,1,75,10,15,30,37,1,75,10,15,30,34,1,75,10,15,30,70,1,75,0,7,0,42,0,0,0,0,0,0,43,0,0,0,0,71,0,0,0,0,0,0,77,0,0,0,0,7,4,54,106
97,0,0,43,25,75,0,0,0,42,24,75,0,0,0,45,26,75,0,0,0,82,123,163,0,3,0,57,31,0,0,0,5,0,0,0,0,0,0,91,82,0,0,0,60,0,0,0,0,0,0,9,24,44,196
98,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,54,43
99,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,53,96
100,0,0,46,25,75,0,0,0,47,25,75,0,0,0,44,25,75,0,0,0,91,86,95,0,8,0,59,38,0,0,0,0,0,0,0,0,0,0,92,107,0,0,0,0,0,0,0,0,0,0,9,13,51,153
101,0,0,39,25,83,0,0,0,39,25,83,0,0,0,39,25,83,0,0,0,69,132,150,0,8,0,0,32,26,0,0,0,64,0,0,0,0,0,0,58,64,0,0,0,107,0,0,0,0,0,9,16,51,118
102,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,51,58
103,0,0,43,25,75,0,0,0,45,25,76,0,0,0,42,25,75,0,0,0,98,67,115,0,8,0,0,0,50,0,68,0,0,0,0,0,0,0,0,0,117,0,104,0,0,0,0,0,0,0,10,24,38,146
104,0,0,43,25,75,0,0,0,42,25,75,0,0,0,45,25,75,0,0,0,47,33,95,0,7,0,0,0,50,0,67,0,0,0,0,0,0,0,0,0,54,0,73,0,0,0,0,0,0,0,10,12,43,140
105,0,0,45,25,75,0,0,0,47,25,75,0,0,0,44,25,75,0,0,0,45,54,75,0,0,0,64,0,28,0,0,0,0,0,0,0,0,0,64,0,28,0,0,0,0,0,0,0,0,0,10,11,53,31
106,0,0,6,1,75,10,15,30,6,1,76,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,48,61
107,0,0,43,25,75,0,0,0,44,25,75,0,0,0,42,25,75,0,0,0,74,65,145,0,3,0,60,0,21,0,0,0,0,0,0,55,0,0,86,0,65,0,0,0,0,0,0,86,0,0,10,24,41,37
108,0,0,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,10,15,30,6,1,75,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,49,6
109,0,0,46,25,75,0,0,0,46,26,75,0,0,0,46,24,74,0,0,0,63,82,129,0,4,0,62,0,36,0,0,0,0,0,0,0,0,0,74,0,64,0,0,0,0,0,0,0,0,0,9,11,47,27
110,0,0,40,25,82,0,0,0,40,26,82,0,0,0,40,24,82,0,0,0,71,45,160,0,3,0,56,0,21,0,0,3,61,0,0,0,0,0,76,0,68,0,0,41,103,0,0,0,0,0,9,1,55,134
111,0,0,40,25,82,0,0,0,41,25,82,0,0,0,39,25,82,0,0,0,87,65,122,0,3,0,56,0,21,0,0,3,61,0,0,0,0,0,85,0,92,0,0,60,94,0,0,0,0,0,9,1,57,75
